,prompt,chosen,rejected
4016,"Generate a single basic question asking how many groups can be formed for a young math learner in the context of a toy store, using a dividend below 50. Make all needed information explicit. Output only the question in text form, without hints or an answer.","assistant

How many groups can be formed with 5 or fewer members from a group of 10 people in the context of a toy store?","assistant

How many groups of 5 can be formed from a total of 12 students in a toy store?"
4017,"Generate a single basic question asking how many groups can be formed for a young math learner in the context of a toy store, using a dividend below 50. Make all needed information explicit. Output only the question in text form, without hints or an answer.","assistant

How many groups of 5 can be formed from a group of 12 students in a toy store?","assistant

How many groups of 5 can be formed from a total of 20 students in a toy store?"
4018,"Generate a single basic question asking how many groups can be formed for a young math learner in the context of a toy store, using a dividend below 50. Make all needed information explicit. Output only the question in text form, without hints or an answer.","assistant

How many groups of 5 can be formed from a group of 12 students in a toy store?","assistant

How many groups of 5 can be formed from a total of 12 students in a toy store?"
4019,"Generate a single basic question asking how many groups can be formed for a young math learner in the context of a toy store, using a dividend below 50. Make all needed information explicit. Output only the question in text form, without hints or an answer.","assistant

How many groups of 5 can be formed from a total of 20 students in a toy store?","assistant

How many groups of 5 can be formed from a total of 12 students in a toy store?"
4020,"Generate one simple question about an equivalent ratio for an upper elementary student in the context of a camping trip, with a ratio that can be simplified. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the ratio of the number of days spent hiking to the number of days spent swimming during a 3-day camping trip?","assistant

What is the ratio of the number of hours spent hiking to the number of hours spent swimming during a 3-day camping trip?"
4021,"Generate one simple question about an equivalent ratio for an upper elementary student in the context of a camping trip, with a ratio that can be simplified. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the ratio of the number of days spent hiking to the number of days spent swimming during a 3-day camping trip?","assistant

What is the ratio of the number of days spent hiking to the number of days spent sleeping in the tent?"
4022,"Generate one simple question about an equivalent ratio for an upper elementary student in the context of a camping trip, with a ratio that can be simplified. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the ratio of the number of days spent hiking to the number of days spent swimming during a 3-day camping trip?","assistant

What is the ratio of the number of campers to the number of counselors at a summer camp?"
4023,"Generate one simple question about an equivalent ratio for an upper elementary student in the context of a camping trip, with a ratio that can be simplified. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the ratio of the number of hours spent hiking to the number of hours spent swimming during a 3-day camping trip?","assistant

What is the ratio of the number of days spent hiking to the number of days spent sleeping in the tent?"
4024,"Generate one simple question about an equivalent ratio for an upper elementary student in the context of a camping trip, with a ratio that can be simplified. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the ratio of the number of hours spent hiking to the number of hours spent swimming during a 3-day camping trip?","assistant

What is the ratio of the number of campers to the number of counselors at a summer camp?"
4025,"Generate one simple question about an equivalent ratio for an upper elementary student in the context of a camping trip, with a ratio that can be simplified. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the ratio of the number of days spent hiking to the number of days spent sleeping in the tent?","assistant

What is the ratio of the number of campers to the number of counselors at a summer camp?"
4026,"Make a single basic question about two repeating events for an upper elementary student in the context of a bakery, using two repeating time intervals. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","assistant

What time will it take for the baker to make 5 batches of cookies and the dough to rise?","assistant

What is the time it takes for the dough to rise twice in a batch of bread?"
4027,"Make a single basic question about two repeating events for an upper elementary student in the context of a bakery, using two repeating time intervals. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","assistant

What time will it take for the baker to make 5 batches of cookies and the dough to rise?","assistant

What is the time it takes for the baker to mix and bake a batch of cookies?"
4028,"Make a single basic question about two repeating events for an upper elementary student in the context of a bakery, using two repeating time intervals. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","assistant

What time will it take for the baker to make 5 batches of cookies and the dough to rise?","assistant

What is the time it takes for the yeast to rise after adding sugar to the dough?"
4029,"Make a single basic question about two repeating events for an upper elementary student in the context of a bakery, using two repeating time intervals. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","assistant

What is the time it takes for the dough to rise twice in a batch of bread?","assistant

What is the time it takes for the baker to mix and bake a batch of cookies?"
4030,"Make a single basic question about two repeating events for an upper elementary student in the context of a bakery, using two repeating time intervals. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","assistant

What is the time it takes for the dough to rise twice in a batch of bread?","assistant

What is the time it takes for the yeast to rise after adding sugar to the dough?"
4031,"Make a single basic question about two repeating events for an upper elementary student in the context of a bakery, using two repeating time intervals. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","assistant

What is the time it takes for the baker to mix and bake a batch of cookies?","assistant

What is the time it takes for the yeast to rise after adding sugar to the dough?"
4032,"Prepare one moderate question using one unknown value for an upper elementary student in the context of a community park, using multiplication. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the total number of swings in the community park if 5 families have 6 swings each, and there are 8 swings in total?","assistant

What is the total number of swings in the community park if there are 15 swings in the playground and 8 more swings are added to it?"
4033,"Prepare one moderate question using one unknown value for an upper elementary student in the context of a community park, using multiplication. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the total number of swings in the community park if 5 families have 6 swings each, and there are 8 swings in total?","assistant

Here's a moderate question for an upper elementary student:

""Tom has 15 boxes of crayons in his art class. Each box contains 8 crayons. How many crayons does Tom have in total?"""
4034,"Prepare one moderate question using one unknown value for an upper elementary student in the context of a community park, using multiplication. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the total number of swings in the community park if 5 families have 6 swings each, and there are 8 swings in total?","assistant

Here's a question for an upper elementary student:

""Tommy has 15 boxes of crayons to pack for the school art club. Each box contains 8 crayons. How many crayons will Tommy have in total to pack for the art club?"""
4035,"Prepare one moderate question using one unknown value for an upper elementary student in the context of a community park, using multiplication. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the total number of swings in the community park if there are 15 swings in the playground and 8 more swings are added to it?","assistant

Here's a moderate question for an upper elementary student:

""Tom has 15 boxes of crayons in his art class. Each box contains 8 crayons. How many crayons does Tom have in total?"""
4036,"Prepare one moderate question using one unknown value for an upper elementary student in the context of a community park, using multiplication. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the total number of swings in the community park if there are 15 swings in the playground and 8 more swings are added to it?","assistant

Here's a question for an upper elementary student:

""Tommy has 15 boxes of crayons to pack for the school art club. Each box contains 8 crayons. How many crayons will Tommy have in total to pack for the art club?"""
4037,"Prepare one moderate question using one unknown value for an upper elementary student in the context of a community park, using multiplication. Make the situation realistic. Return one question only, written as plain text.","assistant

Here's a moderate question for an upper elementary student:

""Tom has 15 boxes of crayons in his art class. Each box contains 8 crayons. How many crayons does Tom have in total?""","assistant

Here's a question for an upper elementary student:

""Tommy has 15 boxes of crayons to pack for the school art club. Each box contains 8 crayons. How many crayons will Tommy have in total to pack for the art club?"""
4038,"Create a single slightly challenging simple GCD word problem for a primary school student learning advanced topics in the context of a school library, using an equal-packaging situation. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

A school library is planning to pack books into boxes of 12 books each. If they have 240 books to pack, how many boxes can they fill with the least number of boxes?","assistant

A school library is planning to order books for a new collection. They have 15 shelves, and each shelf can hold 8 books. If they want to pack the books in boxes that can hold 4 books, how many boxes will they need to buy to pack all the books?"
4039,"Create a single slightly challenging simple GCD word problem for a primary school student learning advanced topics in the context of a school library, using an equal-packaging situation. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

A school library is planning to pack books into boxes of 12 books each. If they have 240 books to pack, how many boxes can they fill with the least number of boxes?","assistant

A school library has 24 boxes of books to pack for a school fair. Each box contains 6 shelves of books, and each shelf can hold 8 books. If the school has 4 teachers who need to pack the books, and each teacher needs to pack 12 boxes of books, how many books will each teacher need to pack in total?"
4040,"Create a single slightly challenging simple GCD word problem for a primary school student learning advanced topics in the context of a school library, using an equal-packaging situation. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

A school library is planning to pack books into boxes of 12 books each. If they have 240 books to pack, how many boxes can they fill with the least number of boxes?","assistant

A school library is planning to pack books into boxes for a new shipment. They have 480 books to pack and each box can hold 12 books. If they want to pack the books in boxes that are equal in size, how many boxes will they need to buy?"
4041,"Create a single slightly challenging simple GCD word problem for a primary school student learning advanced topics in the context of a school library, using an equal-packaging situation. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

A school library is planning to order books for a new collection. They have 15 shelves, and each shelf can hold 8 books. If they want to pack the books in boxes that can hold 4 books, how many boxes will they need to buy to pack all the books?","assistant

A school library has 24 boxes of books to pack for a school fair. Each box contains 6 shelves of books, and each shelf can hold 8 books. If the school has 4 teachers who need to pack the books, and each teacher needs to pack 12 boxes of books, how many books will each teacher need to pack in total?"
4042,"Create a single slightly challenging simple GCD word problem for a primary school student learning advanced topics in the context of a school library, using an equal-packaging situation. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

A school library is planning to order books for a new collection. They have 15 shelves, and each shelf can hold 8 books. If they want to pack the books in boxes that can hold 4 books, how many boxes will they need to buy to pack all the books?","assistant

A school library is planning to pack books into boxes for a new shipment. They have 480 books to pack and each box can hold 12 books. If they want to pack the books in boxes that are equal in size, how many boxes will they need to buy?"
4043,"Create a single slightly challenging simple GCD word problem for a primary school student learning advanced topics in the context of a school library, using an equal-packaging situation. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

A school library has 24 boxes of books to pack for a school fair. Each box contains 6 shelves of books, and each shelf can hold 8 books. If the school has 4 teachers who need to pack the books, and each teacher needs to pack 12 boxes of books, how many books will each teacher need to pack in total?","assistant

A school library is planning to pack books into boxes for a new shipment. They have 480 books to pack and each box can hold 12 books. If they want to pack the books in boxes that are equal in size, how many boxes will they need to buy?"
4044,"Generate a single simple question about taking away for a young math learner in the context of a bakery, using numbers up to 100. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is the total number of cupcakes in a standard bakery case that contains 8 rows of cupcakes, with 12 cupcakes in each row?","assistant

What is the total number of cupcakes in a standard bakery case if 12 cupcakes are placed in each shelf, and there are 5 shelves in the case?"
4045,"Generate a single simple question about taking away for a young math learner in the context of a bakery, using numbers up to 100. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is the total number of cupcakes in a standard bakery case that contains 8 rows of cupcakes, with 12 cupcakes in each row?","assistant

What is the total number of cupcakes sold in the bakery in a day if 25 customers bought 3 cupcakes each, and 5 customers bought 2 cupcakes each?"
4046,"Generate a single simple question about taking away for a young math learner in the context of a bakery, using numbers up to 100. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is the total number of cupcakes in a standard bakery case that contains 8 rows of cupcakes, with 12 cupcakes in each row?","assistant

What is the total number of cupcakes that can be baked in a bakery if they are baked in batches of 8 and 12, and 15 cupcakes are baked in each batch?"
4047,"Generate a single simple question about taking away for a young math learner in the context of a bakery, using numbers up to 100. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is the total number of cupcakes in a standard bakery case if 12 cupcakes are placed in each shelf, and there are 5 shelves in the case?","assistant

What is the total number of cupcakes sold in the bakery in a day if 25 customers bought 3 cupcakes each, and 5 customers bought 2 cupcakes each?"
4048,"Generate a single simple question about taking away for a young math learner in the context of a bakery, using numbers up to 100. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is the total number of cupcakes in a standard bakery case if 12 cupcakes are placed in each shelf, and there are 5 shelves in the case?","assistant

What is the total number of cupcakes that can be baked in a bakery if they are baked in batches of 8 and 12, and 15 cupcakes are baked in each batch?"
4049,"Generate a single simple question about taking away for a young math learner in the context of a bakery, using numbers up to 100. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is the total number of cupcakes sold in the bakery in a day if 25 customers bought 3 cupcakes each, and 5 customers bought 2 cupcakes each?","assistant

What is the total number of cupcakes that can be baked in a bakery if they are baked in batches of 8 and 12, and 15 cupcakes are baked in each batch?"
4050,"Write a single slightly challenging question that requires finding a total for a young math learner in the context of a playground, using three small whole numbers. Make the situation realistic. Give only the question as plain text. Do not include the solution.","assistant

Tommy has 5 balls in his backpack. His friend Emma gives him 2 more balls. Later, he finds 8 more balls on the playground. How many balls does Tommy have now?","assistant

Tommy has 5 balls in his pocket and his friend Emma has 3 balls. They decide to share them equally among 8 children at the playground. How many balls will each child get?"
4051,"Write a single slightly challenging question that requires finding a total for a young math learner in the context of a playground, using three small whole numbers. Make the situation realistic. Give only the question as plain text. Do not include the solution.","assistant

Tommy has 5 balls in his backpack. His friend Emma gives him 2 more balls. Later, he finds 8 more balls on the playground. How many balls does Tommy have now?","assistant

Tommy has 5 friends who are playing a game of tag in the playground. The game involves running around the playground and tagging each other. If Tommy tags 2 of his friends, and then another friend tags him, then another friend tags him, and then another friend tags him, how many times does Tommy tag himself?"
4052,"Write a single slightly challenging question that requires finding a total for a young math learner in the context of a playground, using three small whole numbers. Make the situation realistic. Give only the question as plain text. Do not include the solution.","assistant

Tommy has 5 balls in his backpack. His friend Emma gives him 2 more balls. Later, he finds 8 more balls on the playground. How many balls does Tommy have now?","assistant

A group of friends are planning a picnic in a park and want to divide the cost of the food and drinks among themselves. The cost of a sandwich is $2.50, a bag of chips is $1.75, and a drink costs $1.25. If they are planning to have 8 people at the picnic, how much will each person have to pay for the food and drinks?"
4053,"Write a single slightly challenging question that requires finding a total for a young math learner in the context of a playground, using three small whole numbers. Make the situation realistic. Give only the question as plain text. Do not include the solution.","assistant

Tommy has 5 balls in his pocket and his friend Emma has 3 balls. They decide to share them equally among 8 children at the playground. How many balls will each child get?","assistant

Tommy has 5 friends who are playing a game of tag in the playground. The game involves running around the playground and tagging each other. If Tommy tags 2 of his friends, and then another friend tags him, then another friend tags him, and then another friend tags him, how many times does Tommy tag himself?"
4054,"Write a single slightly challenging question that requires finding a total for a young math learner in the context of a playground, using three small whole numbers. Make the situation realistic. Give only the question as plain text. Do not include the solution.","assistant

Tommy has 5 balls in his pocket and his friend Emma has 3 balls. They decide to share them equally among 8 children at the playground. How many balls will each child get?","assistant

A group of friends are planning a picnic in a park and want to divide the cost of the food and drinks among themselves. The cost of a sandwich is $2.50, a bag of chips is $1.75, and a drink costs $1.25. If they are planning to have 8 people at the picnic, how much will each person have to pay for the food and drinks?"
4055,"Write a single slightly challenging question that requires finding a total for a young math learner in the context of a playground, using three small whole numbers. Make the situation realistic. Give only the question as plain text. Do not include the solution.","assistant

Tommy has 5 friends who are playing a game of tag in the playground. The game involves running around the playground and tagging each other. If Tommy tags 2 of his friends, and then another friend tags him, then another friend tags him, and then another friend tags him, how many times does Tommy tag himself?","assistant

A group of friends are planning a picnic in a park and want to divide the cost of the food and drinks among themselves. The cost of a sandwich is $2.50, a bag of chips is $1.75, and a drink costs $1.25. If they are planning to have 8 people at the picnic, how much will each person have to pay for the food and drinks?"
4056,"Prepare one easy question about finding what remains for a primary school student in the context of a camping trip, using two-digit numbers. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","assistant

What is the sum of the numbers 14 and 27?","assistant

What is the sum of 14 and 27?"
4057,"Prepare one easy question about finding what remains for a primary school student in the context of a camping trip, using two-digit numbers. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","assistant

What is the sum of the numbers 14 and 27?","assistant

What is the sum of 14 and 27?"
4058,"Prepare one easy question about finding what remains for a primary school student in the context of a camping trip, using two-digit numbers. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","assistant

What is the sum of the numbers 14 and 27?","assistant

What is the sum of the tens and ones digits of 17?"
4060,"Prepare one easy question about finding what remains for a primary school student in the context of a camping trip, using two-digit numbers. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","assistant

What is the sum of 14 and 27?","assistant

What is the sum of the tens and ones digits of 17?"
4061,"Prepare one easy question about finding what remains for a primary school student in the context of a camping trip, using two-digit numbers. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","assistant

What is the sum of 14 and 27?","assistant

What is the sum of the tens and ones digits of 17?"
4062,"Make a single moderate short division fact problem for an elementary student in the context of a sports day, with no remainder. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What is the number that goes into 24 exactly 6 times?","assistant

What number multiplied by 4 equals 96?"
4063,"Make a single moderate short division fact problem for an elementary student in the context of a sports day, with no remainder. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What is the number that goes into 24 exactly 6 times?","assistant

What number multiplied by 5 equals 125?"
4064,"Make a single moderate short division fact problem for an elementary student in the context of a sports day, with no remainder. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What is the number that goes into 24 exactly 6 times?","assistant

What is the quotient when 48 ÷ 8?"
4065,"Make a single moderate short division fact problem for an elementary student in the context of a sports day, with no remainder. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What number multiplied by 4 equals 96?","assistant

What number multiplied by 5 equals 125?"
4066,"Make a single moderate short division fact problem for an elementary student in the context of a sports day, with no remainder. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What number multiplied by 4 equals 96?","assistant

What is the quotient when 48 ÷ 8?"
4067,"Make a single moderate short division fact problem for an elementary student in the context of a sports day, with no remainder. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What number multiplied by 5 equals 125?","assistant

What is the quotient when 48 ÷ 8?"
4069,"Write a single simple logic-based elementary math question for an upper elementary student in the context of a toy store, combining geometry and arithmetic. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

Tom has 15 boxes of crayons in his toy store. Each box contains 8 crayons. How many crayons does Tom have in total?","assistant

Tom has 15 boxes of crayons in his toy store. He wants to put them into bags of 5 crayons each. How many bags can he fill with the crayons?"
4070,"Write a single simple logic-based elementary math question for an upper elementary student in the context of a toy store, combining geometry and arithmetic. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

Tom has 15 boxes of crayons in his toy store. Each box contains 8 crayons. How many crayons does Tom have in total?","assistant

A toy store has 15 boxes of crayons, and each box contains 8 crayons. If 3 boxes of crayons are added to the store, how many crayons will be in the store?"
4071,"Write a single simple logic-based elementary math question for an upper elementary student in the context of a toy store, combining geometry and arithmetic. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

Tom has 15 boxes of crayons in his toy store. Each box contains 8 crayons. How many crayons does Tom have in total?","assistant

Tom has 15 boxes of crayons in his toy store. He wants to put them into bags of 5 crayons each. How many bags can he fill with the crayons?"
4072,"Write a single simple logic-based elementary math question for an upper elementary student in the context of a toy store, combining geometry and arithmetic. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

Tom has 15 boxes of crayons in his toy store. Each box contains 8 crayons. How many crayons does Tom have in total?","assistant

A toy store has 15 boxes of crayons, and each box contains 8 crayons. If 3 boxes of crayons are added to the store, how many crayons will be in the store?"
4073,"Write a single simple logic-based elementary math question for an upper elementary student in the context of a toy store, combining geometry and arithmetic. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

Tom has 15 boxes of crayons in his toy store. He wants to put them into bags of 5 crayons each. How many bags can he fill with the crayons?","assistant

A toy store has 15 boxes of crayons, and each box contains 8 crayons. If 3 boxes of crayons are added to the store, how many crayons will be in the store?"
4076,"Make a single simple question comparing two quantities for a young math learner in the context of a playground, without using a table. Use whole numbers only. Use plain text only and provide no solution or explanation.","assistant

What is the difference between 5 and 3?","assistant

What is the difference between 5 and 2?"
4078,"Make a single simple question comparing two quantities for a young math learner in the context of a playground, without using a table. Use whole numbers only. Use plain text only and provide no solution or explanation.","assistant

What is the difference between 5 and 3?","assistant

What is the difference between 5 and 2?"
4079,"Make a single simple question comparing two quantities for a young math learner in the context of a playground, without using a table. Use whole numbers only. Use plain text only and provide no solution or explanation.","assistant

What is the difference between 5 and 3?","assistant

What is the difference between 5 and 2?"
4081,"Make one basic question about the greatest common factor for an upper elementary student in the context of a book fair, using an equal-row situation. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is the greatest common factor of 24 and 36?","assistant

What is the greatest common factor of 36 and 24?"
4082,"Make one basic question about the greatest common factor for an upper elementary student in the context of a book fair, using an equal-row situation. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is the greatest common factor of 24 and 36?","assistant

What is the greatest common factor of 36 and 24?"
4083,"Make one basic question about the greatest common factor for an upper elementary student in the context of a book fair, using an equal-row situation. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is the greatest common factor of 24 and 36?","assistant

What is the greatest common factor of 36 and 24?"
4084,"Make one basic question about the greatest common factor for an upper elementary student in the context of a book fair, using an equal-row situation. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is the greatest common factor of 24 and 36?","assistant

What is the greatest common factor of 36 and 24?"
4086,"Prepare one basic missing-number equation for a young learner ready for a challenge in the context of a camping trip, using multiplication. Use familiar vocabulary. Return only the question in plain text, with no answer or explanation.","assistant

What number is missing in the pattern: 2, 5, 8, 11, 14, ?","assistant

What is 4 x 9?"
4087,"Prepare one basic missing-number equation for a young learner ready for a challenge in the context of a camping trip, using multiplication. Use familiar vocabulary. Return only the question in plain text, with no answer or explanation.","assistant

What number is missing in the pattern: 2, 5, 8, 11, 14, ?","assistant

What is 5 x 9?"
4088,"Prepare one basic missing-number equation for a young learner ready for a challenge in the context of a camping trip, using multiplication. Use familiar vocabulary. Return only the question in plain text, with no answer or explanation.","assistant

What number is missing in the pattern: 2, 5, 8, 11, 14, ?","assistant

What is 5 x 8?"
4089,"Prepare one basic missing-number equation for a young learner ready for a challenge in the context of a camping trip, using multiplication. Use familiar vocabulary. Return only the question in plain text, with no answer or explanation.","assistant

What is 4 x 9?","assistant

What is 5 x 9?"
4090,"Prepare one basic missing-number equation for a young learner ready for a challenge in the context of a camping trip, using multiplication. Use familiar vocabulary. Return only the question in plain text, with no answer or explanation.","assistant

What is 4 x 9?","assistant

What is 5 x 8?"
4091,"Prepare one basic missing-number equation for a young learner ready for a challenge in the context of a camping trip, using multiplication. Use familiar vocabulary. Return only the question in plain text, with no answer or explanation.","assistant

What is 5 x 9?","assistant

What is 5 x 8?"
4092,"Generate a single easy question asking for a part-to-part ratio for a young learner ready for a challenge in the context of a music class, using two types of objects. Keep the question concise. Return one question only, written as plain text.","assistant

What is the ratio of drumsticks to maracas in a typical music ensemble?","assistant

What is the ratio of drumsticks to maracas in a typical jazz band?"
4093,"Generate a single easy question asking for a part-to-part ratio for a young learner ready for a challenge in the context of a music class, using two types of objects. Keep the question concise. Return one question only, written as plain text.","assistant

What is the ratio of drumsticks to maracas in a typical music ensemble?","assistant

What is the ratio of the number of strings on a guitar to the number of strings on a violin?"
4094,"Generate a single easy question asking for a part-to-part ratio for a young learner ready for a challenge in the context of a music class, using two types of objects. Keep the question concise. Return one question only, written as plain text.","assistant

What is the ratio of drumsticks to maracas in a typical music ensemble?","assistant

What is the ratio of guitar strings to violin strings?"
4095,"Generate a single easy question asking for a part-to-part ratio for a young learner ready for a challenge in the context of a music class, using two types of objects. Keep the question concise. Return one question only, written as plain text.","assistant

What is the ratio of drumsticks to maracas in a typical jazz band?","assistant

What is the ratio of the number of strings on a guitar to the number of strings on a violin?"
4096,"Generate a single easy question asking for a part-to-part ratio for a young learner ready for a challenge in the context of a music class, using two types of objects. Keep the question concise. Return one question only, written as plain text.","assistant

What is the ratio of drumsticks to maracas in a typical jazz band?","assistant

What is the ratio of guitar strings to violin strings?"
4097,"Generate a single easy question asking for a part-to-part ratio for a young learner ready for a challenge in the context of a music class, using two types of objects. Keep the question concise. Return one question only, written as plain text.","assistant

What is the ratio of the number of strings on a guitar to the number of strings on a violin?","assistant

What is the ratio of guitar strings to violin strings?"
4098,"Write one easy addition word problem for a young math learner in the context of a fruit shop, with simple regrouping. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

Tom has 15 apples in his fruit shop. He buys 7 more apples from a friend. How many apples does Tom have now?","assistant

Tom has 15 apples in a basket. He adds 7 more apples to the basket. How many apples does Tom have now?"
4099,"Write one easy addition word problem for a young math learner in the context of a fruit shop, with simple regrouping. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

Tom has 15 apples in his fruit shop. He buys 7 more apples from a friend. How many apples does Tom have now?","assistant

Tom has 15 apples and buys 7 more. How many apples does Tom have now?"
4100,"Write one easy addition word problem for a young math learner in the context of a fruit shop, with simple regrouping. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

Tom has 15 apples in his fruit shop. He buys 7 more apples from a friend. How many apples does Tom have now?","assistant

Tom has 15 apples and buys 7 more. How many apples does Tom have now?"
4101,"Write one easy addition word problem for a young math learner in the context of a fruit shop, with simple regrouping. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

Tom has 15 apples in a basket. He adds 7 more apples to the basket. How many apples does Tom have now?","assistant

Tom has 15 apples and buys 7 more. How many apples does Tom have now?"
4102,"Write one easy addition word problem for a young math learner in the context of a fruit shop, with simple regrouping. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

Tom has 15 apples in a basket. He adds 7 more apples to the basket. How many apples does Tom have now?","assistant

Tom has 15 apples and buys 7 more. How many apples does Tom have now?"
4104,"Generate one slightly challenging one-step algebra question for an upper elementary student in the context of a school cafeteria, using a letter for the unknown. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

Tommy has 15 boxes of cookies in the school cafeteria. He wants to put them in bags that hold 8 cookies each. How many bags can Tommy fill with the cookies he has?","assistant

Tommy has 15 boxes of granola bars in the school cafeteria. He wants to put them into bags for his classmates. If each bag can hold 8 granola bars, how many bags can Tommy fill with the granola bars?"
4105,"Generate one slightly challenging one-step algebra question for an upper elementary student in the context of a school cafeteria, using a letter for the unknown. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

Tommy has 15 boxes of cookies in the school cafeteria. He wants to put them in bags that hold 8 cookies each. How many bags can Tommy fill with the cookies he has?","assistant

Tommy has 15 boxes of granola bars in his backpack. He wants to share them equally among his 5 friends. How many granola bars will each friend get?"
4106,"Generate one slightly challenging one-step algebra question for an upper elementary student in the context of a school cafeteria, using a letter for the unknown. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

Tommy has 15 boxes of cookies in the school cafeteria. He wants to put them in bags that hold 8 cookies each. How many bags can Tommy fill with the cookies he has?","assistant

Tommy has 15 boxes of cookies to package for the school bake sale. He wants to put 3 boxes of cookies in each box. How many boxes will Tommy have left after he packs them into boxes of 3?"
4107,"Generate one slightly challenging one-step algebra question for an upper elementary student in the context of a school cafeteria, using a letter for the unknown. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

Tommy has 15 boxes of granola bars in the school cafeteria. He wants to put them into bags for his classmates. If each bag can hold 8 granola bars, how many bags can Tommy fill with the granola bars?","assistant

Tommy has 15 boxes of granola bars in his backpack. He wants to share them equally among his 5 friends. How many granola bars will each friend get?"
4108,"Generate one slightly challenging one-step algebra question for an upper elementary student in the context of a school cafeteria, using a letter for the unknown. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

Tommy has 15 boxes of granola bars in the school cafeteria. He wants to put them into bags for his classmates. If each bag can hold 8 granola bars, how many bags can Tommy fill with the granola bars?","assistant

Tommy has 15 boxes of cookies to package for the school bake sale. He wants to put 3 boxes of cookies in each box. How many boxes will Tommy have left after he packs them into boxes of 3?"
4109,"Generate one slightly challenging one-step algebra question for an upper elementary student in the context of a school cafeteria, using a letter for the unknown. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

Tommy has 15 boxes of granola bars in his backpack. He wants to share them equally among his 5 friends. How many granola bars will each friend get?","assistant

Tommy has 15 boxes of cookies to package for the school bake sale. He wants to put 3 boxes of cookies in each box. How many boxes will Tommy have left after he packs them into boxes of 3?"
